FullDate,DateKey,Year,Month,Day,Quarter,WeekOfYear,DayOfYear,DayOfWeek
2024-07-02,20240702,2024,7,2,3,27,184,2
2024-07-03,20240703,2024,7,3,3,27,185,3
2024-07-04,20240704,2024,7,4,3,27,186,4
2024-07-05,20240705,2024,7,5,3,27,187,5
2024-07-06,20240706,2024,7,6,3,27,188,6
2024-07-07,20240707,2024,7,7,3,27,189,7
2024-07-08,20240708,2024,7,8,3,28,190,1
2024-07-09,20240709,2024,7,9,3,28,191,2
2024-07-10,20240710,2024,7,10,3,28,192,3
2024-07-11,20240711,2024,7,11,3,28,193,4
2024-07-12,20240712,2024,7,12,3,28,194,5
2024-07-13,20240713,2024,7,13,3,28,195,6
2024-07-14,20240714,2024,7,14,3,28,196,7
2024-07-15,20240715,2024,7,15,3,29,197,1
2024-07-16,20240716,2024,7,16,3,29,198,2
2024-07-17,20240717,2024,7,17,3,29,199,3
2024-07-18,20240718,2024,7,18,3,29,200,4
2024-07-19,20240719,2024,7,19,3,29,201,5
2024-07-20,20240720,2024,7,20,3,29,202,6
2024-07-21,20240721,2024,7,21,3,29,203,7
2024-07-22,20240722,2024,7,22,3,30,204,1
2024-07-23,20240723,2024,7,23,3,30,205,2
2024-07-24,20240724,2024,7,24,3,30,206,3
2024-07-25,20240725,2024,7,25,3,30,207,4
2024-07-26,20240726,2024,7,26,3,30,208,5
2024-07-27,20240727,2024,7,27,3,30,209,6
2024-07-28,20240728,2024,7,28,3,30,210,7
2024-07-29,20240729,2024,7,29,3,31,211,1
2024-07-30,20240730,2024,7,30,3,31,212,2
2024-07-31,20240731,2024,7,31,3,31,213,3
2024-08-01,20240801,2024,8,1,3,31,214,4
2024-08-02,20240802,2024,8,2,3,31,215,5
2024-08-03,20240803,2024,8,3,3,31,216,6
2024-08-04,20240804,2024,8,4,3,31,217,7
2024-08-05,20240805,2024,8,5,3,32,218,1
2024-08-06,20240806,2024,8,6,3,32,219,2
2024-08-07,20240807,2024,8,7,3,32,220,3
2024-08-08,20240808,2024,8,8,3,32,221,4
2024-08-09,20240809,2024,8,9,3,32,222,5
2024-08-10,20240810,2024,8,10,3,32,223,6
2024-08-11,20240811,2024,8,11,3,32,224,7
2024-08-12,20240812,2024,8,12,3,33,225,1
2024-08-13,20240813,2024,8,13,3,33,226,2
2024-08-14,20240814,2024,8,14,3,33,227,3
2024-08-15,20240815,2024,8,15,3,33,228,4
2024-08-16,20240816,2024,8,16,3,33,229,5
2024-08-17,20240817,2024,8,17,3,33,230,6
2024-08-18,20240818,2024,8,18,3,33,231,7
2024-08-19,20240819,2024,8,19,3,34,232,1
2024-08-20,20240820,2024,8,20,3,34,233,2
2024-08-21,20240821,2024,8,21,3,34,234,3
2024-08-22,20240822,2024,8,22,3,34,235,4
2024-08-23,20240823,2024,8,23,3,34,236,5
2024-08-24,20240824,2024,8,24,3,34,237,6
2024-08-25,20240825,2024,8,25,3,34,238,7
2024-08-26,20240826,2024,8,26,3,35,239,1
2024-08-27,20240827,2024,8,27,3,35,240,2
2024-08-28,20240828,2024,8,28,3,35,241,3
2024-08-29,20240829,2024,8,29,3,35,242,4
2024-08-30,20240830,2024,8,30,3,35,243,5
2024-08-31,20240831,2024,8,31,3,35,244,6
2024-09-01,20240901,2024,9,1,3,35,245,7
2024-09-02,20240902,2024,9,2,3,36,246,1
2024-09-03,20240903,2024,9,3,3,36,247,2
2024-09-04,20240904,2024,9,4,3,36,248,3
2024-09-05,20240905,2024,9,5,3,36,249,4
2024-09-06,20240906,2024,9,6,3,36,250,5
2024-09-07,20240907,2024,9,7,3,36,251,6
2024-09-08,20240908,2024,9,8,3,36,252,7
2024-09-09,20240909,2024,9,9,3,37,253,1
2024-09-10,20240910,2024,9,10,3,37,254,2
2024-09-11,20240911,2024,9,11,3,37,255,3
2024-09-12,20240912,2024,9,12,3,37,256,4
2024-09-13,20240913,2024,9,13,3,37,257,5
2024-09-14,20240914,2024,9,14,3,37,258,6
2024-09-15,20240915,2024,9,15,3,37,259,7
2024-09-16,20240916,2024,9,16,3,38,260,1
2024-09-17,20240917,2024,9,17,3,38,261,2
2024-09-18,20240918,2024,9,18,3,38,262,3
2024-09-19,20240919,2024,9,19,3,38,263,4
2024-09-20,20240920,2024,9,20,3,38,264,5
2024-09-21,20240921,2024,9,21,3,38,265,6
2024-09-22,20240922,2024,9,22,3,38,266,7
2024-09-23,20240923,2024,9,23,3,39,267,1
2024-09-24,20240924,2024,9,24,3,39,268,2
2024-09-25,20240925,2024,9,25,3,39,269,3
2024-09-26,20240926,2024,9,26,3,39,270,4
2024-09-27,20240927,2024,9,27,3,39,271,5
2024-09-28,20240928,2024,9,28,3,39,272,6
2024-09-29,20240929,2024,9,29,3,39,273,7
2024-09-30,20240930,2024,9,30,3,40,274,1
